Titulo_Art,Procedencia_Art,Año_Art,Titulo_Ref,Procedencia_Ref,Año_Ref,Decada,Año_Art_Num,Año_Ref_Num,Dif_Años
Carta De Control R Con Intervalos De Muestreo Variables,Revista Estadística de Colombia,2000,A Robustness Study Of X Bar Charts With Variable Sampling Intevals,Journal Of Quality Technology,1993,2000,2000,1993.0,7.0
Carta De Control R Con Intervalos De Muestreo Variables,Revista Estadística de Colombia,2000,Control Estadı́Stico De Calidad En La Industria Militar,Universidad Nacional De Colombia,1982,2000,2000,1982.0,18.0
Carta De Control R Con Intervalos De Muestreo Variables,Revista Estadística de Colombia,2000,Programmer’S Guide,Mathsoft,1995,2000,2000,1995.0,5.0
EstimacióN MáXimo VerosíMil De Los TamañOs De Dominios En Problemas De Marcos MúLtiples Cuando Se Desconoce El TamañO De Los Marcos,Revista Estadística de Colombia,2000,Estimators For Samples Selected From Two Overlapping Frames,The American Statistical Asociation,1972,2000,2000,1972.0,28.0
EstimacióN MáXimo VerosíMil De Los TamañOs De Dominios En Problemas De Marcos MúLtiples Cuando Se Desconoce El TamañO De Los Marcos,Revista Estadística de Colombia,2000,Multiple Frame Metodology And Selected Aplications,Sankhya: The Indian Journal Of Statistics,1974,2000,2000,1974.0,26.0
EstimacióN MáXimo VerosíMil De Los TamañOs De Dominios En Problemas De Marcos MúLtiples Cuando Se Desconoce El TamañO De Los Marcos,Revista Estadística de Colombia,2000,Theory Of Point Estimation,John Wiley & Sons,1983,2000,2000,1983.0,17.0
EstimacióN MáXimo VerosíMil De Los TamañOs De Dominios En Problemas De Marcos MúLtiples Cuando Se Desconoce El TamañO De Los Marcos,Revista Estadística de Colombia,2000,Una DistribucióN AsintóTica Para Estimadores MáXimo - Verosímiles De TamañOs De Dominios De Situaciones De Marcos MúLtiples,Revista Colombiana De Estadística,1989,2000,2000,1989.0,11.0
AnáLisis De La MéTrica En Aplicaciones De La EstadíStica Textual A La TipologíA De Trayectorias,Revista Estadística de Colombia,2000,Statistique Textuelle,Dunod,1994,2000,2000,1994.0,6.0
AnáLisis De La MéTrica En Aplicaciones De La EstadíStica Textual A La TipologíA De Trayectorias,Revista Estadística de Colombia,2000,"Los Itinerarios Individuales Interpretados Como Frases, Una AplicacióN De La Estadística Textual A La Tipología De Trayectorias",Universidad Nacional De Colombia,1996,2000,2000,1996.0,4.0
Una GeneralizacióN De La EstadíStica Dfbeta,Revista Estadística de Colombia,2000,Regression Diagnostics: Identifying Influential Data And Sources Of Collinearity,John Wiley,1980,2000,2000,1980.0,20.0
Criterios Sobre El Uso De La DistribucióN Normal Para Aproximar La DistribucióN Binomial,Revista Estadística de Colombia,2000,Estadística No ParaméTrica Aplicada A Las Ciencias De La Conducta,MéXico,1995,2000,2000,1995.0,5.0
GráFicos De Control Para La Media De Un Proceso En Poblaciones Con DistribucióN AsiméTrica,Revista Estadística de Colombia,2000,Control Limits Of Qc Charts For Skewed Distributions Using Weighted Variance,Ieee Transactions On Reliability,1987,2000,2000,1987.0,13.0
GráFicos De Control Para La Media De Un Proceso En Poblaciones Con DistribucióN AsiméTrica,Revista Estadística de Colombia,2000,Statistical Methods In Quality Control,Prentice Hall,1957,2000,2000,1957.0,43.0
GráFicos De Control Para La Media De Un Proceso En Poblaciones Con DistribucióN AsiméTrica,Revista Estadística de Colombia,2000,Quality Control And Industrial Statistics,Richard D Irwin Inc,1952,2000,2000,1952.0,48.0
GráFicos De Control Para La Media De Un Proceso En Poblaciones Con DistribucióN AsiméTrica,Revista Estadística de Colombia,2000,Control Estadístico De Procesos: Cartas De Control,Xiii Coloquio Distrital De MatemáTicas Y Estadística,1999,2000,2000,1999.0,1.0
GráFicos De Control Para La Media De Un Proceso En Poblaciones Con DistribucióN AsiméTrica,Revista Estadística de Colombia,2000,Probabilidad Y Estadística,Mc Graw Hill,1996,2000,2000,1996.0,4.0
TamañO De La Muestra En AnáLisis De Sobrevida,Revista Estadística de Colombia,2000,A Comparation Of Sample Size Methods For The Logrank Statistic,Statistics In Medicin,1992,2000,2000,1992.0,8.0
TamañO De La Muestra En AnáLisis De Sobrevida,Revista Estadística de Colombia,2000,Sample Size Calculation For Within-Patient Comparisons With A Binary Or Survival Endpoint,Controlled Clinical Trials,1996,2000,2000,1996.0,4.0
TamañO De La Muestra En AnáLisis De Sobrevida,Revista Estadística de Colombia,2000,Informe Final Del Proyecto “Modelamiento Y SimulacióN Del TamañO De La Muestra En Algunos DiseñOs De InvestigacióN En Salud”,Pontificia Universidad Javeriana,2001,2000,2000,2001.0,-1.0
EstimacióN De ParáMetros Y Calculo De La Varianza Residual En Modelos De Medias De Celdas Con InformacióN Adicional,Revista Estadística de Colombia,2000,SumáRio; Uso Da NotaçÃO R( ) Em Dados Desbalanceados,Universidad De Sao Paulo,1992,2000,2000,1992.0,8.0
La EstadíStica Una Ciencia Del Siglo Xx,Revista Estadística de Colombia,2000,Analyse Des DonéEs,Dunod,1973,2000,2000,1973.0,27.0
La EstadíStica Una Ciencia Del Siglo Xx,Revista Estadística de Colombia,2000,"Sobre El Vathek De William Beckford, Otras Inquisiciones",Alianza Editorial,1960,2000,2000,1960.0,40.0
La EstadíStica Una Ciencia Del Siglo Xx,Revista Estadística de Colombia,2000,Statistical Methods And Scientific Inference,Oliver & Boyd,1981,2000,2000,1981.0,19.0
La EstadíStica Una Ciencia Del Siglo Xx,Revista Estadística de Colombia,2000,A History Of Mathematical Statistics From 1750 To 1930,John Wiley & Sons,1998,2000,2000,1998.0,2.0
La EstadíStica Una Ciencia Del Siglo Xx,Revista Estadística de Colombia,2000,The Founder Of Modern Statistics,Statistical Science,1992,2000,2000,1992.0,8.0
La EstadíStica Una Ciencia Del Siglo Xx,Revista Estadística de Colombia,2000,Statistical Decision Fuctions,Wiley,1950,2000,2000,1950.0,50.0
"Un TamañO De Muestra Preliminar En La Estimacion De La Media, En Poblaciones Con Distribuciones Uniformes Y Triangulares",Revista Estadística de Colombia,2001,Normal Aproximation When Sampling From Bounded Symmetric Distributions,Revista Colombiana De Estadística,1995,2000,2001,1995.0,6.0
"Un TamañO De Muestra Preliminar En La Estimacion De La Media, En Poblaciones Con Distribuciones Uniformes Y Triangulares",Revista Estadística de Colombia,2001,Sampling Techniques,John Wiley & Sons,1977,2000,2001,1977.0,24.0
"Un TamañO De Muestra Preliminar En La Estimacion De La Media, En Poblaciones Con Distribuciones Uniformes Y Triangulares",Revista Estadística de Colombia,2001,Sequential Statistics Procedures,Academic Press,1975,2000,2001,1975.0,26.0
Intervalos De Confianza Para El ParáMetro De La DistribucióN Binomial,Revista Estadística de Colombia,2001,Probabilidad Y Aplicaciones Estadı́Sticas,Addison Wesley,1986,2000,2001,1986.0,15.0
Intervalos De Confianza Para El ParáMetro De La DistribucióN Binomial,Revista Estadística de Colombia,2001,A First Course In Mathematical Statistics,Addison Wesley,1973,2000,2001,1973.0,28.0
Intervalos De Confianza Para El ParáMetro De La DistribucióN Binomial,Revista Estadística de Colombia,2001,Statistical Methods,The Iowa State University Press,1980,2000,2001,1980.0,21.0
Intervalos De Confianza Para El ParáMetro De La DistribucióN Binomial,Revista Estadística de Colombia,2001,Small-Sample Interval Estimation Of Bernoulli And Poisson Parameters,The American Statistician,1997,2000,2001,1997.0,4.0
Intervalos De Confianza Para El ParáMetro De La DistribucióN Binomial,Revista Estadística de Colombia,2001,Fundamentos De Estadı́Stica Para AdministracióN Y Economı́A,Editorial Limusa,1979,2000,2001,1979.0,22.0
ComparacióN De Tres MéTodos De RegresióN Lineal Usando Procedimientos De SimulacióN,Revista Estadística de Colombia,2001,Alternative Methods Of Regression,John Wiley & Sons,1993,2000,2001,1993.0,8.0
ComparacióN De Tres MéTodos De RegresióN Lineal Usando Procedimientos De SimulacióN,Revista Estadística de Colombia,2001,"AnáLisis Comparativo De Tres MéTodos De RegresióN: Mínimos Cuadrados, No ParaméTrica Basada En Rangos Y Mı́Nima DesviacióN Absoluta, Usando MéTodos De SimulacióN",Universidad Nacional De Colombia,1997,2000,2001,1997.0,4.0
Propuesta De Un Indicador Como Variable Auxiliar En El AnáLisis Cokriging,Revista Estadística de Colombia,2001,Applied Geostatistics,Oxford University Press,1989,2000,2001,1989.0,12.0
