Autor_Art,Autor_Ref,Decada,Num_Ref
A L Moreno Cortes,Reynolds M R Jr,2000,1
A L Moreno Cortes,Harvey M M,2000,1
Vargas J A,Reynolds M R Jr,2000,1
Vargas J A,Miller R W,2000,1
A M Montenegro,B L Ford,2000,1
A M Montenegro,E G Bryant,2000,1
A M Montenegro,G I Makarenko,2000,1
Ospina D,E G Bryant,2000,1
Ospina D,R S Cochcran,2000,1
Ospina D,L F Burmeister,2000,1
Ospina D,B Hodley,2000,1
Ospina D,M L Krasnov,2000,1
Ospina D,A I Kiseliov,2000,1
Ospina D,R E Williams,2000,1
C E Pardo,O Barbary,2000,2
C E Pardo,Hoyos M C,2000,1
C E Pardo,Lebart L,2000,5
J A Jimenez Moscoso,Cook R D,2000,1
J A Jimenez Moscoso,RincóN Luis F,2000,1
J A Jimenez Moscoso,Searle S R,2000,2
L F Rincon Suarez,RincóN Tatiana,2000,1
L F Rincon Suarez,LóPez Luis A,2000,1
J Ortiz Pinilla,Siegel Sidney,2000,1
T Neira,Castellan J,2000,1
P Torres,Schmid Friedrich,2000,1
E A Chaparro S,Cowden D J,2000,1
E A Chaparro S,Duncan Acheson,2000,1
E A Chaparro S,Vargas J A,2000,1
E A Chaparro S,Wetherill G B,2000,1
E A Chaparro S,Brown D W,2000,1
Vargas J A,Bai D S,2000,1
Vargas J A,Cowden D J,2000,1
Vargas J A,Duncan Acheson,2000,1
Vargas J A,Walpole R E,2000,1
Vargas J A,Myers R H,2000,1
Vargas J A,Wetherill G B,2000,1
J A Castañeda,Hosmer D W,2000,1
J A Castañeda,Skene A M,2000,1
A Perez,Cox D R,2000,1
A Perez,Johnson N L,2000,1
A Perez,Lemeshow S,2000,1
A Perez,Law M G,2000,1
A Perez,Yateman N A,2000,1
J F A Gil,Oakes D,2000,1
J F A Gil,Kleinbaum D G,2000,1
J F A Gil,Law M G,2000,1
J F A Gil,CastañEda J,2000,1
O O Melo M,Mondardo M,2000,1
O O Melo M,Smith D W,2000,1
O O Melo M,Searle S R,2000,2
O O Melo M,Williams D R,2000,1
L A Lopez P,Melo O O,2000,3
L A Lopez P,Murray L W,2000,6
L A Lopez P,Smith D W,2000,4
L A Lopez P,Hackney O P,2000,2
L A Lopez P,Weeks D L,2000,2
S Yañez Canal,Benzecri J P,2000,1
S Yañez Canal,Gifi A,2000,1
